personality_word,word_valence,mean_val,mean_img,mean_freq
Irresponsible,Negative,14.3065326633166,58.5867346938776,48.9796954314721
Cowardly,Negative,14.4773869346734,68.5786802030457,25.4365482233503
Weak-willed,Negative,14.5879396984925,40.8205128205128,14.9285714285714
Shallow,Negative,14.7272727272727,60.7106598984772,34.0659898477157
Insulting,Negative,14.9849246231156,58.3807106598985,44.3604060913706
Unprincipled,Negative,15.0558375634518,31.0161290322581,16.0523560209424
Prejudiced,Negative,15.0561224489796,51.7577319587629,36.1827411167513
Narrow-minded,Negative,15.1608040201005,44.3350253807107,35.010152284264
Perverse,Negative,15.2146892655367,47.3152173913044,18.8010752688172
Greedy,Negative,15.2964824120603,83.8375634517766,54.4619289340102
Weak,Negative,15.3165829145729,76.3807106598985,53.1015228426396
Thoughtless,Negative,15.5125628140704,43.8375634517767,40.1015228426396
Artificial,Negative,15.7236180904523,66.1827411167513,48.6243654822335
Unimpressive,Negative,15.7989949748744,45.502538071066,32.1573604060914
Aggressive,Negative,16.0552763819095,88.0812182741117,51.4619289340102
Unappreciative,Negative,16.1155778894472,51.015306122449,30.751269035533
Frightening,Negative,16.2222222222222,86.1269035532995,45.9847715736041
Dull,Negative,16.2713567839196,65.5634517766497,46.9390862944162
Brutal,Negative,16.4773869346734,68.9847715736041,36.6142131979695
Sloppy,Negative,16.6582914572864,72.3959390862944,27.3350253807107
Scheming,Negative,16.6772486772487,55.8082901554404,21.8571428571429
Callous,Negative,16.6902173913043,44.8709677419355,17.3020833333333
Devious,Negative,16.7676767676768,57.1761658031088,24.8883248730964
Intolerant,Negative,16.7766497461929,49.8877551020408,36.6598984771574
Sly,Negative,16.8265306122449,60.9289340101523,25.0862944162437
Miserable,Negative,16.8341708542714,85.5989847715736,49.6243654822335
Tasteless,Negative,16.9899497487437,50.2690355329949,33.2842639593909
Remorseless,Negative,17.0406091370558,46.1030927835052,14.75
Discouraging,Negative,17.2222222222222,37.9187817258883,29.5939086294416
Lazy,Negative,17.2562814070352,86.8324873096447,65.6040609137056
Careless,Negative,17.3618090452261,59.3502538071066,48.9137055837563
Uncooperative,Negative,17.5376884422111,53.6020408163265,30.5357142857143
Insensitive,Negative,17.5527638190955,48.0456852791878,43.238578680203
Irrational,Negative,17.7939698492462,42.2791878172589,41.4568527918782
Morbid,Negative,18.0862944162437,60.178947368421,26.8274111675127
Paranoid,Negative,18.1457286432161,67.2959183673469,40.5279187817259
Resentful,Negative,18.2060301507538,48.3846153846154,28.9238578680203
Pompous,Negative,18.5372340425532,63.8486486486486,18.2525773195876
Foolish,Negative,18.5477386934673,60.6275510204082,35.8578680203046
Scornful,Negative,18.5736842105263,47.7005347593583,12.8144329896907
Slow,Negative,18.5929648241206,82.7106598984772,70.0304568527919
Cold,Negative,18.6381909547739,86.263959390863,78.6598984771574
Conceited,Negative,18.7837837837838,41.5869565217391,22.4432989690722
One-dimensional,Negative,18.9393939393939,40.2953367875648,17.7360406091371
Tactless,Negative,18.9424083769633,38.8716577540107,22.5128205128205
Superficial,Negative,19.020202020202,51.5440414507772,33.2244897959184
Unhealthy,Negative,19.0507614213198,85.5939086294416,66.6091370558376
Undisciplined,Negative,19.0757575757576,52.1116751269036,23.7908163265306
Uncharitable,Negative,19.1836734693878,45.7938144329897,20.4568527918782
Ridiculous,Negative,19.3417085427136,58.1370558375635,62.5380710659898
Charmless,Negative,19.356783919598,37.4102564102564,14.9746192893401
Gloomy,Negative,19.4242424242424,79.4744897959184,32.4111675126904
Bland,Negative,19.510101010101,58.6802030456853,37.1928934010152
Unimaginative,Negative,19.6532663316583,38.8832487309645,30.746192893401
Sneaky,Negative,19.8090452261307,67.2791878172589,38.5482233502538
Petty,Negative,19.8375634517766,51.6142131979695,41.6649746192893
